ID,Species,Site,Femur_mm,ClutchSize,EggMass,NOvarioles,NFunctOvarioles,PropFunctOvarioles,Elevation_m,logEggs,ClutchMass_g
B27 6-11,A. clavatus,B1,11.1,4,0.003,,,,2591,1.386294361,0.012
B6 6-11,A. clavatus,B1,11.39,4,0.00413,,,,2591,1.386294361,0.0165
B24 6-11,A. clavatus,B1,11.44,4,0.0037,,,,2591,1.386294361,0.0148
B18 6-11,A. clavatus,B1,11.63,,,,,,2591,,
B17 6-11,A. clavatus,B1,12.09,2,0.0046,,,,2591,0.693147181,0.0092
B19 6-11,A. clavatus,B1,10.99,2,0.0033,,,,2591,0.693147181,0.0066
B16 6-11,A. clavatus,B1,12.27,2,0.0039,,,,2591,0.693147181,0.0078
B12 6-11,A. clavatus,B1,11.33,4,0.00378,,,,2591,1.386294361,0.0151
B2 6-5,A. clavatus,B1,,4,0.00388,,,,2591,1.386294361,0.0155
B10 6-11,A. clavatus,B1,,,,,,,2591,,
B5 6-11,A. clavatus,B1,11.45,4,0.0036,,,,2591,1.386294361,0.0144
B1 6-11 6/18,A. clavatus,B1,10.85,,,,,,2591,,
B20 6-11,A. clavatus,B1,11.19,4,0.0044,,,,2591,1.386294361,0.0176
B3 6-11,A. clavatus,B1,,,,,,,2591,,
B9 6-11,A. clavatus,B1,11.55,,,,,,2591,,
B26 6-11,A. clavatus,B1,11.88,,,,,,2591,,
B25 6-11,A. clavatus,B1,,3,0.0032,,,,2591,1.098612289,0.0096
B19,A. clavatus,B1,10.36,,,,,,2591,,
D20,A. clavatus,D1,10.39,4,0.0053,5,4,0.8,3515,1.386294361,0.0212
D1,A. clavatus,D1,9.93,4,0.00475,6,4,0.67,3515,1.386294361,0.01901
D2,A. clavatus,D1,10.7,2,0.00426,6,4,0.67,3515,0.693147181,0.00852
D3,A. clavatus,D1,10.07,3,0.00457,6,4,0.67,3515,1.098612289,0.01371
D5,A. clavatus,D1,9.98,,,6,4,0.67,3515,,
D12,A. clavatus,D1,10.09,3,0.00397,6,4,0.67,3515,1.098612289,0.01191
D13,A. clavatus,D1,9.68,4,0.00395,6,4,0.67,3515,1.386294361,0.0158
D14,A. clavatus,D1,10.16,4,0.0038,6,4,0.67,3515,1.386294361,0.0152
D15,A. clavatus,D1,10.53,3,0.0047,6,4,0.67,3515,1.098612289,0.0141
D16,A. clavatus,D1,10.05,4,0.00383,6,4,0.67,3515,1.386294361,0.015333332
D17,A. clavatus,D1,10.43,4,0.00468,6,4,0.67,3515,1.386294361,0.0187
D18,A. clavatus,D1,9.28,4,0.00425,6,4,0.67,3515,1.386294361,0.017
D19,A. clavatus,D1,10,8,0.00459,6,4,0.67,3515,2.079441542,0.0367
D21,A. clavatus,D1,10.31,4,0.00438,6,4,0.67,3515,1.386294361,0.0175
D22,A. clavatus,D1,10.12,4,0.00425,6,4,0.67,3515,1.386294361,0.017
D23,A. clavatus,D1,10.49,,,6,4,0.67,3515,,
D25,A. clavatus,D1,9.59,,,6,4,0.67,3515,,
D26,A. clavatus,D1,10.42,,,6,4,0.67,3515,,
D27,A. clavatus,D1,9.71,,,6,4,0.67,3515,,
D24,A. clavatus,D1,9.47,,,6,3,0.5,3515,,
D1 7/14,A. clavatus,D1,10.49,,,,,,3515,,
D2 8-14,A. clavatus,D1,9.78,,,,,,3515,,
D16 8-14,A. clavatus,D1,9.64,,,,,,3515,,
D1 8-14,A. clavatus,D1,9.8,,,,,,3515,,
D4,A. clavatus,D1,10.04,3,0.00477,,,,3515,1.098612289,0.014295
D6,A. clavatus,D1,10.19,4,0.00478,,,,3515,1.386294361,0.0191
D7,A. clavatus,D1,9.46,4,0.00423,,,,3515,1.386294361,0.0169
D8,A. clavatus,D1,10.36,5,0.00455,,,,3515,1.609437912,0.02275
D10,A. clavatus,D1,9.86,4,0.00497,,,,3515,1.386294361,0.019866668
D11,A. clavatus,D1,10.42,3,0.0041,,,,3515,1.098612289,0.0123
RF26,A. clavatus,RedFox,11.6,,,4,4,1,1577,,
RF3,A. clavatus,RedFox,11.65,,,6,4,0.67,1577,,
